PXLC.K,22.71402,2.43035
MGK,22.92599,4.91381
PAO,22.9483,3.01255
IPS,22.9754,4.74192
MES,22.98473,4.32067
GII,23.05364,3.35474
MGC,23.09572,3.78198
VOO,23.22762,3.84295
ULE,23.23415,3.16727
SPY,23.26698,3.81105
FLG,23.36664,3.95892
CSM,23.40955,4.66335
NKY,23.41194,4.94449
MGV,23.42002,2.73663
IWL,23.48109,3.81453
TZV,23.49686,4.9346
SCHX.K,23.56052,4.00077
GRES.K,23.64418,3.88215
PBJ,23.75049,2.40334
VV,23.75687,4.05855
OTR,23.85593,4.0053
FXH,23.98747,3.26545
FMU,23.9883,3.95643
VUG,24.00344,5.0269
TMW,24.04202,4.09661
PRF,24.05591,3.45069
VTV,24.06596,2.99052
CVRT.K,24.07765,3.02401
RWL,24.14612,3.61491
EPS,24.22033,3.90202
SCHB.K,24.34754,4.19956
VTI,24.41892,4.14569
SPYV.K,24.45193,4.04909
OTP,24.53379,3.64964
XLY,24.64997,3.78182
IST,24.66214,2.5618
IWX,24.88227,3.00279
PTH,25.06348,4.05037
DSI,25.0936,3.18837
FTC,25.09903,2.85815
IGF,25.1652,4.19643
FVI,25.26118,4.0555
VPL,25.28291,4.86292
ELR,25.35908,4.30195
CZA,25.40919,4.03356
IYC,25.45114,3.19732
EXT,25.4615,4.68143
VCR,25.49918,4.60766
ASEA.K,25.55566,3.65806
CROP.K,25.60931,3.11833
WFVK.K,25.715,4.37324
IOO,25.75532,3.4807
FEX,25.81811,4.26573
LVL,25.9894,2.26112
PDP,26.1608,4.60737
HEDJ.K,26.27175,4.40997
FTA,26.28226,4.9663
RSP,26.29623,3.99837
FGD,26.30572,4.38053
DGT,26.34196,4.82552
FAD,26.51009,3.62961
IHF,26.51506,3.45719
VOE,26.60883,4.25179
PMR,26.63521,3.71281
FDV,26.80352,4.82643
PXMC.K,26.82474,3.4386
ROI,26.84036,4.4815
EWRI.K,26.95173,4.64758
RCD,27.01264,3.87411
HGI,27.04001,4.94186
TOK,27.15978,4.17303
RPG,27.16863,3.59712
FFR,27.2765,3.35491
PPA,27.32573,4.44601
RGI,27.3937,3.59925
ECON.K,27.504,4.49244
EZY,27.53516,3.71964
PMA,27.56521,4.39069
RFV,27.60014,4.37445
VO,27.60989,4.88028
ENZL.K,27.71109,4.75543
PBE,27.76696,3.2695
RWX,27.77664,4.91851
DFJ,27.94248,2.26809
AADR.K,28.02046,5.0215
EUSA.K,28.03371,3.84751
DLN,28.08774,2.35317
KLD,28.15739,3.81436
PWO,28.21539,3.93422
FXD,28.21763,4.49173
XLI,28.2972,3.45686
RWO,28.41878,3.06565
EMM,28.47034,4.80921
IWZ,28.47819,4.85202
VIOG.K,28.51033,3.98197
PIC,28.58195,3.60694
SLYG.K,28.58838,4.22956
SCHF.K,28.59379,4.93288
EXI,28.76334,4.68901
IWF,28.92087,4.84958
PXSC.K,28.96265,4.71162
RWV,28.98371,4.86413
FAB,29.0124,4.75941
SLY,29.03294,4.18942
TDN,29.0624,2.3935
RTR,29.07055,4.1136
FNY,29.23084,3.90269
ITA,29.32858,4.12131
JKD,29.3594,3.03878
IWP,29.43506,4.93449
VIS,29.44479,3.86699
JKG,29.61008,4.61046
MDYV.K,29.61039,4.35486
PDN,29.64113,4.9446
FMM,29.67736,4.76836
DTD,29.69393,2.26914
PXMG.K,29.78413,4.39815
FDT,29.78454,3.69804
PXN,29.8108,2.83077
PBS,29.8289,4.06852
SZR,29.8774,3.88514
EEB,29.92339,3.95538
FXO,29.98249,4.74504
AIA,30.13458,4.69508
IXC,30.14182,3.96985
PIE,30.25771,4.50243
SDIV.K,30.27293,3.71058
DWX,30.29595,3.94355
IVW,30.35864,4.0498
EES,30.38041,4.25454
FNX,30.43498,4.79215
IPU,30.48022,4.74924
CRBQ.K,30.52416,3.88455
GNR,30.54168,3.43331
XRT,30.56175,4.69653
NASI.K,30.61373,2.66293
PXMV.K,30.61675,4.93006
OEF,30.62548,3.99931
FXR,30.84063,4.54545
PFI,30.86544,4.5092
VBR,30.87027,4.55946
FCL,30.95834,4.472
ILF,31.00668,3.85859
PXSG.K,31.03781,4.5655
RZG,31.08786,4.13412
IRY,31.27228,3.61947
FEU,31.28399,4.47752
XBI,31.28963,4.40158
ISI,31.42659,3.62922
MOO,31.43807,4.34102
VB,31.44929,4.98989
CONG.K,31.48214,4.2405
HAP,31.50553,3.93181
XLB,31.57548,2.81729
FIL,31.58764,3.87418
VWO,31.61782,5.0119
FOS,31.6203,4.69592
FXL,31.65966,4.68258
CUT,31.71803,4.26121
SCHA.K,31.74051,4.89003
VIOV.K,31.78525,4.36893
SLYV.K,31.83134,4.33447
IJT,31.92448,4.04869
RTM,31.99205,2.51019
GXC,31.9957,4.42965
VAW,32.0373,3.32255
ROOF.K,32.07882,2.46073
YAO,32.16069,4.30063
PAF,32.26312,4.0483
AXHE.K,32.30562,2.90384
PRN,32.52957,4.26872
JKK,32.61168,4.33261
PGJ,32.64969,2.86671
BIK,32.7089,4.69296
RWJ,32.78217,4.44925
VFH,32.80513,4.01875
PZD,32.98992,4.80687
